Time,Time Code,Country Name,Country Code,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Gross value added at basic prices (GVA) (constant 2015 US$) [NY.GDP.FCST.KD],"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]"
1998,YR1998,Brazil,BRA,14.3,11304.0969954988,984540623467.698,66.92
1998,YR1998,Russian Federation,RUS,2.3,12358.15234375,600059161854.77,67.19
1998,YR1998,India,IND,..,2359.89255117272,655029255196.271,59.84
1998,YR1998,South Africa,ZAF,..,10141.4625866116,185979356449.564,58.96
1998,YR1998,Mexico,MEX,12.9,17184.9431894038,768178067320.378,63.26
1999,YR1999,Brazil,BRA,15,11196.8385320757,994003224816.571,67.55
1999,YR1999,Russian Federation,RUS,4.4,13189.7939453125,634068278618.296,70.86
1999,YR1999,India,IND,..,2521.57665792208,707459148737.112,59.74
1999,YR1999,South Africa,ZAF,..,10270.0635127072,191000799072.353,58.84
1999,YR1999,Mexico,MEX,..,17370.8129070839,788868483213.201,62.54
2000,YR2000,Brazil,BRA,..,11529.4866151644,1033051563637.14,67.81
2000,YR2000,Russian Federation,RUS,3,14569.9365234375,693103878190.268,70.96
2000,YR2000,India,IND,..,2571.14965568846,736805668369.908,59.66
2000,YR2000,South Africa,ZAF,36.8,10598.860669143,199404834226.11,58.72
2000,YR2000,Mexico,MEX,8.9,17942.780345094,828780029724.853,62.5
2001,YR2001,Brazil,BRA,13,11536.3638321407,1048682620869.66,68.09
2001,YR2001,Russian Federation,RUS,1.8,15378.08984375,727120139515.76,69.66
2001,YR2001,India,IND,..,2646.87822424904,776487640386.587,59.79
2001,YR2001,South Africa,ZAF,..,10789.0511567594,205187574421.498,58.62
2001,YR2001,Mexico,MEX,..,17596.7867366015,825015811955.729,61.92
2002,YR2002,Brazil,BRA,11.7,11739.431843405,1086220327586.02,68.94
2002,YR2002,Russian Federation,RUS,1,16175.09765625,761147014340.434,70.61
2002,YR2002,India,IND,..,2699.17810240919,806597904368.663,59.93
2002,YR2002,South Africa,ZAF,..,11086.9236950785,212985564626.468,58.53
2002,YR2002,Mexico,MEX,6.6,17324.3536521552,824462506612.233,61.38
2003,YR2003,Brazil,BRA,12.6,11733.4111975411,1099545031341.28,69.06
2003,YR2003,Russian Federation,RUS,1.1,17434.80859375,818157555901.334,70.49
2003,YR2003,India,IND,..,2861.57470800053,870855641522.404,60.09
2003,YR2003,South Africa,ZAF,..,11308.8832104594,219335664523.349,58.48
2003,YR2003,Mexico,MEX,..,17315.4550005213,836412346620.163,61.8
