"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LFPR","15MORE","PC_AGE","A","2000",63.1502802672815,
"AUS","LFPR","15MORE","PC_AGE","A","2001",63.3154697862094,
"AUS","LFPR","15MORE","PC_AGE","A","2002",63.385044617723,
"AUS","LFPR","15MORE","PC_AGE","A","2003",63.6024734457451,
"AUS","LFPR","15MORE","PC_AGE","A","2004",63.4752979027067,
"AUS","LFPR","15MORE","PC_AGE","A","2005",64.4117351348794,
"AUS","LFPR","15MORE","PC_AGE","A","2006",64.7785098719678,
"AUS","LFPR","15MORE","PC_AGE","A","2007",65.1985731140139,
"AUS","LFPR","15MORE","PC_AGE","A","2008",65.4972286005078,
"AUS","LFPR","15MORE","PC_AGE","A","2009",65.4485465781347,
"AUS","LFPR","15MORE","PC_AGE","A","2010",65.4078385987332,
"AUS","LFPR","15MORE","PC_AGE","A","2011",65.4401685244231,
"AUS","LFPR","15MORE","PC_AGE","A","2012",65.1713034036454,
"AUS","LFPR","15MORE","PC_AGE","A","2013",64.962184802846,
"AUS","LFPR","15MORE","PC_AGE","A","2014",64.7157502862919,
"AUS","LFPR","15MORE","PC_AGE","A","2015",65.0103898436024,
"AUS","LFPR","15MORE","PC_AGE","A","2016",64.8799524844853,
"AUS","LFPR","15MORE","PC_AGE","A","2017",65.181826953418,
"AUS","LFPR","15MORE","PC_AGE","A","2018",65.6447131610651,
"AUS","LFPR","15MORE","PC_AGE","A","2019",65.9521853493524,
"AUS","LFPR","15MORE","PC_AGE","A","2020",65.0320123897564,
"AUS","LFPR","15MORE","PC_AGE","A","2021",65.8467027186591,
"AUT","LFPR","15MORE","PC_AGE","A","2000",58.4628178539935,
"AUT","LFPR","15MORE","PC_AGE","A","2001",58.541876759244,
"AUT","LFPR","15MORE","PC_AGE","A","2002",59.1259955086861,
"AUT","LFPR","15MORE","PC_AGE","A","2003",59.4507912968225,
"AUT","LFPR","15MORE","PC_AGE","A","2004",57.9300641998479,
"AUT","LFPR","15MORE","PC_AGE","A","2005",58.5583488050481,
"AUT","LFPR","15MORE","PC_AGE","A","2006",59.0823914195902,
"AUT","LFPR","15MORE","PC_AGE","A","2007",59.9362359117113,
"AUT","LFPR","15MORE","PC_AGE","A","2008",60.1730675273341,
"AUT","LFPR","15MORE","PC_AGE","A","2009",60.4449319889058,
"AUT","LFPR","15MORE","PC_AGE","A","2010",60.3960246789463,
"AUT","LFPR","15MORE","PC_AGE","A","2011",60.4891876766856,
"AUT","LFPR","15MORE","PC_AGE","A","2012",60.7628119330701,
"AUT","LFPR","15MORE","PC_AGE","A","2013",60.9201699989558,
"AUT","LFPR","15MORE","PC_AGE","A","2014",60.6940792504219,
"AUT","LFPR","15MORE","PC_AGE","A","2015",60.7226902298744,
"AUT","LFPR","15MORE","PC_AGE","A","2016",61.2069497611627,
"AUT","LFPR","15MORE","PC_AGE","A","2017",61.2187482377125,
"AUT","LFPR","15MORE","PC_AGE","A","2018",61.3666105865406,
"AUT","LFPR","15MORE","PC_AGE","A","2019",61.3636928321692,
"AUT","LFPR","15MORE","PC_AGE","A","2020",60.770729776043,
"AUT","LFPR","15MORE","PC_AGE","A","2021",61.1573625396504,
"BEL","LFPR","15MORE","PC_AGE","A","2000",52.1815242116064,
"BEL","LFPR","15MORE","PC_AGE","A","2001",51.3439030570102,
"BEL","LFPR","15MORE","PC_AGE","A","2002",51.7431195124297,
"BEL","LFPR","15MORE","PC_AGE","A","2003",51.8253346113992,
"BEL","LFPR","15MORE","PC_AGE","A","2004",52.5455529635367,
"BEL","LFPR","15MORE","PC_AGE","A","2005",53.2994171792545,
"BEL","LFPR","15MORE","PC_AGE","A","2006",53.1142995933745,
"BEL","LFPR","15MORE","PC_AGE","A","2007",53.5928121029834,
"BEL","LFPR","15MORE","PC_AGE","A","2008",53.6782081903637,
"BEL","LFPR","15MORE","PC_AGE","A","2009",53.4728385115823,
"BEL","LFPR","15MORE","PC_AGE","A","2010",54.069856708609,
