Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]",Proportion of people living below 50 percent of median income (%) [SI.DST.50MD]
2000,YR2000,Brazil,BRA,11529.4866151644,..,67.81,..
2000,YR2000,China,CHN,3451.67923093446,..,82.58,..
2000,YR2000,India,IND,2571.14965568846,..,59.66,..
2000,YR2000,Russian Federation,RUS,14569.9365234375,3,70.96,15.1
2000,YR2000,South Africa,ZAF,10598.860669143,36.8,58.72,25.5
2001,YR2001,Brazil,BRA,11536.3638321407,13,68.09,25.9
2001,YR2001,China,CHN,3712.33813234941,..,81.9,..
2001,YR2001,India,IND,2646.87822424904,..,59.79,..
2001,YR2001,Russian Federation,RUS,15378.08984375,1.8,69.66,14
2001,YR2001,South Africa,ZAF,10789.0511567594,..,58.62,..
2002,YR2002,Brazil,BRA,11739.431843405,11.7,68.94,25.3
2002,YR2002,China,CHN,4024.35569664333,36.5,81.1,..
2002,YR2002,India,IND,2699.17810240919,..,59.93,..
2002,YR2002,Russian Federation,RUS,16175.09765625,1,70.61,13.4
2002,YR2002,South Africa,ZAF,11086.9236950785,..,58.53,..
2003,YR2003,Brazil,BRA,11733.4111975411,12.6,69.06,25.3
2003,YR2003,China,CHN,4400.82518340985,..,80.25,..
2003,YR2003,India,IND,2861.57470800053,..,60.09,..
2003,YR2003,Russian Federation,RUS,17434.80859375,1.1,70.49,15
2003,YR2003,South Africa,ZAF,11308.8832104594,..,58.48,..
2004,YR2004,Brazil,BRA,12268.6638325485,11.1,69.96,24.5
2004,YR2004,China,CHN,4817.21184451855,..,79.45,..
2004,YR2004,India,IND,3037.06381503522,39.9,60.25,..
2004,YR2004,Russian Federation,RUS,18765.51953125,1,71.13,15.4
2004,YR2004,South Africa,ZAF,11713.8803525261,..,58.47,..
2005,YR2005,Brazil,BRA,12520.8549899008,10,70.71,24.3
2005,YR2005,China,CHN,5334.64663937839,22.1,78.78,..
2005,YR2005,India,IND,3225.54433045079,..,60.42,..
2005,YR2005,Russian Federation,RUS,20042.814453125,0.8,71.57,15.2
2005,YR2005,South Africa,ZAF,12216.0276406035,28.3,58.51,20.3
2006,YR2006,Brazil,BRA,12877.4441830465,8.3,70.3,23.6
2006,YR2006,China,CHN,5979.78171182139,..,78.24,..
2006,YR2006,India,IND,3432.8192514162,..,59.57,..
2006,YR2006,Russian Federation,RUS,21757.46484375,0.4,71.86,15.5
2006,YR2006,South Africa,ZAF,12776.8779422812,..,58.6,..
2007,YR2007,Brazil,BRA,13518.8477758477,7.9,70.17,24.2
2007,YR2007,China,CHN,6795.17401238784,..,77.84,..
2007,YR2007,India,IND,3642.00241028405,..,58.73,..
2007,YR2007,Russian Federation,RUS,23647.265625,0.2,72.7,15.1
2007,YR2007,South Africa,ZAF,13325.982825217,..,58.76,..
2008,YR2008,Brazil,BRA,14067.9458125762,6.5,70.23,23.5
2008,YR2008,China,CHN,7412.87436348628,18,77.52,..
2008,YR2008,India,IND,3701.39547865959,..,57.93,..
2008,YR2008,Russian Federation,RUS,24887.853515625,0.1,73,14
2008,YR2008,South Africa,ZAF,13596.2876855281,18.7,59.01,22.4
2009,YR2009,Brazil,BRA,13916.9632254971,6.1,70.63,23.4
2009,YR2009,China,CHN,8069.35463838628,..,77.19,..
2009,YR2009,India,IND,3937.23764188214,32.9,57.14,..
